(0, -1, 288, 299, -1)
(1, -1, 289, 300, 288)
(2, -1, 290, 301, 289)
(3, -1, 291, 302, 290)
(4, -1, 292, 303, 291)
(5, -1, -1, 304, 292)
(7, -1, 295, 306, -1)
(8, -1, 296, 307, 295)
(9, -1, 297, 308, 296)
(10, -1, -1, 309, 297)
(12, 299, 310, 321, -1)
(13, 300, 311, 322, 310)
(14, 301, 312, 323, 311)
(15, 302, 313, 324, 312)
(16, 303, 314, 325, 313)
(17, 304, 315, 326, 314)
(18, -1, 316, 327, 315)
(19, 306, 317, 328, 316)
(20, 307, 318, 329, 317)
(21, 308, 319, -1, 318)
(22, 309, -1, 331, 319)
(24, 321, 332, 343, -1)
(25, 322, 333, 344, 332)
(26, 323, 334, 345, 333)
(27, 324, 335, 346, 334)
(28, 325, 336, 347, 335)
(29, 326, 337, 348, 336)
(30, 327, -1, 349, 337)
(31, 328, 339, 350, -1)
(32, 329, -1, 351, 339)
(34, 331, 342, -1, -1)
(35, -1, -1, 543, 342)
(36, 343, 354, 365, -1)
(37, 344, 355, 366, 354)
(38, 345, 356, -1, 355)
(39, 346, 357, 368, 356)
(40, 347, 358, 369, 357)
(41, 348, 359, 370, 358)
(42, 349, -1, 371, 359)
(43, 350, 361, 372, -1)
(44, 351, 362, 373, 361)
(45, -1, -1, 374, 362)
(47, 543, -1, 544, -1)
(48, 365, 376, 387, -1)
(49, 366, -1, 388, 376)
(51, 368, 379, 390, -1)
(52, 369, 380, 391, 379)
(53, 370, 381, -1, 380)
(54, 371, 382, -1, 381)
(55, 372, 383, 394, 382)
(56, 373, 384, 395, 383)
(57, 374, 385, 396, 384)
(58, -1, 386, 397, 385)
(59, 544, -1, 545, 386)
(60, 387, 398, 409, -1)
(61, 388, 399, -1, 398)
(62, -1, 400, 411, 399)
(63, 390, 401, 412, 400)
(64, 391, -1, 413, 401)
(67, 394, 405, 416, -1)
(68, 395, 406, 417, 405)
(69, 396, 407, 418, 406)
(70, 397, 408, 419, 407)
(71, 545, -1, 546, 408)
(72, 409, -1, 431, -1)
(74, 411, 422, 433, -1)
(75, 412, 423, 434, 422)
(76, 413, 424, 435, 423)
(77, -1, 425, 436, 424)
(78, -1, 426, 437, 425)
(79, 416, 427, 438, 426)
(80, 417, 428, 439, 427)
(81, 418, 429, 440, 428)
(82, 419, 430, 441, 429)
(83, 546, -1, 547, 430)
(84, 431, 442, 453, -1)
(85, -1, 443, 454, 442)
(86, 433, 444, -1, 443)
(87, 434, 445, 456, 444)
(88, 435, 446, 457, 445)
(89, 436, 447, 458, 446)
(90, 437, 448, 459, 447)
(91, 438, 449, 460, 448)
(92, 439, 450, 461, 449)
(93, 440, 451, 462, 450)
(94, 441, 452, 463, 451)
(95, 547, -1, 548, 452)
(96, 453, 464, 475, -1)
(97, 454, -1, 476, 464)
(99, 456, 467, 478, -1)
(100, 457, 468, 479, 467)
(101, 458, 469, 480, 468)
(102, 459, 470, 481, 469)
(103, 460, 471, 482, 470)
(104, 461, 472, 483, 471)
(105, 462, 473, 484, 472)
(106, 463, 474, -1, 473)
(107, 548, -1, 549, 474)
(108, 475, 486, 497, -1)
(109, 476, 487, 498, 486)
(110, -1, 488, 499, 487)
(111, 478, 489, 500, 488)
(112, 479, 490, 501, 489)
(113, 480, 491, 502, 490)
(114, 481, 492, 503, 491)
(115, 482, 493, 504, 492)
(116, 483, 494, 505, 493)
(117, 484, -1, 506, 494)
(119, 549, -1, 550, -1)
(120, 497, 508, 519, -1)
(121, 498, 509, 520, 508)
(122, 499, 510, 521, 509)
(123, 500, 511, 522, 510)
(124, 501, 512, 523, 511)
(125, 502, 513, 524, 512)
(126, 503, 514, 525, 513)
(127, 504, 515, 526, 514)
(128, 505, 516, 527, 515)
(129, 506, 517, 528, 516)
(130, -1, 518, 529, 517)
(131, 550, -1, 551, 518)
(132, 519, 530, -1, -1)
(133, 520, 531, -1, 530)
(134, 521, 532, -1, 531)
(135, 522, 533, -1, 532)
(136, 523, 534, -1, 533)
(137, 524, 535, -1, 534)
(138, 525, 536, -1, 535)
(139, 526, 537, -1, 536)
(140, 527, 538, -1, 537)
(141, 528, 539, -1, 538)
(142, 529, 540, -1, 539)
(143, 551, -1, -1, 540)
